Cytokine	GM-CSF	IFNγ	IL-1α	IL-1β	IL-2	IL-4	IL-5	IL-6	IL-7	IL-10	IL-12p70	IL-13	IL-17A	KC	LIX	MCP-1	MIP-2	TNFα
R1	NA	NA	9.63	NA	0.94	NA	NA	NA	0.74	NA	45.19	4.07	0.19	10.87	5.17	NA	35.24	3.52
R2	NA	NA	12.1	NA	4.4	5.29	0.45	NA	1.4	NA	51.22	6.28	5.63	29.63	179.63	NA	41.01	4.35
R3	NA	NA	12.73	NA	3.18	NA	0.4	NA	0.71	NA	42.35	6.38	NA	4.42	NA	NA	39.19	3.12
R4	NA	NA	1.08	NA	NA	NA	0.14	NA	0.62	NA	32.92	6.51	NA	2.76	NA	2.46	28.23	2.51
R5	NA	0.09	23.1	NA	5.03	0.04	0.88	NA	0.32	NA	37.03	5.14	NA	3.86	NA	6.4	53.32	2.62
R6	NA	NA	22.44	NA	3.54	NA	0.2	NA	1.04	NA	26.95	4.25	NA	1.4	NA	NA	NA	2.46
R7	NA	NA	15.27	NA	1.24	NA	0.07	NA	0.5	NA	26.46	5.78	NA	1.53	NA	NA	25.44	2.3
R8	NA	NA	27.69	NA	5.38	NA	0.14	NA	0.74	NA	43.92	6.27	NA	3.41	NA	NA	25.44	3.06
R9	NA	NA	14	NA	4.03	NA	0.26	NA	0.23	NA	40.46	4.81	NA	3.04	NA	NA	NA	2.82
R10	NA	NA	2.53	NA	2.76	NA	NA	NA	0.44	NA	39.85	4.76	NA	0.74	NA	NA	NA	3.39
R11	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	27.43	6.13	NA	1.43	NA	NA	NA	3.53
R12	NA	NA	NA	NA	NA	NA	0.11	NA	0.26	NA	25.48	6.13	NA	1.26	NA	NA	NA	1.85
R13	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	32.84	5.41	NA	0.82	NA	NA	NA	2.98
R14	NA	NA	25.07	NA	4.72	NA	0.33	0.01	0.74	NA	30.24	5.96	NA	3.83	NA	NA	69.6	2.1
R15	NA	NA	8.72	NA	0.6	NA	0.07	NA	0.59	NA	24.25	5.1	NA	2.09	NA	NA	13.82	3.25
R16	NA	NA	9.02	NA	0.86	0.03	0.45	NA	0.32	NA	23.17	5.91	10.42	29.13	77.05	9.04	37.27	1.96
R17	NA	NA	18.18	NA	2.02	NA	0.36	NA	0.44	NA	35.26	4.74	0.14	6.35	7.51	NA	NA	2.89
R18	NA	NA	9.02	NA	2.25	NA	0.17	NA	0.68	NA	25.24	4.94	4.52	17.95	NA	2.46	NA	2.3
R19	NA	NA	19.16	NA	2.48	NA	0.17	NA	NA	NA	33.7	6.08	NA	1.56	NA	NA	NA	2.82
R20	NA	NA	31.57	NA	2.65	NA	NA	1.44	NA	NA	30.95	4.04	NA	1.4	NA	NA	25.44	2.47
R21	NA	NA	4.57	NA	NA	NA	NA	NA	0.44	NA	33.31	6.54	NA	1.87	NA	NA	13.82	2.31
R22	NA	NA	2.82	NA	NA	NA	NA	NA	0.74	NA	30.71	7.21	0.47	16.89	0.39	NA	NA	2.12
R23	NA	NA	NA	NA	1.24	NA	NA	NA	0.8	NA	23.17	5.52	3.8	9.41	NA	NA	18.57	1.92
R24	NA	NA	10.24	NA	4.59	5.72	0.4	NA	0.65	NA	20.06	6.33	6.29	28.99	100.12	NA	22.29	2.86
