miRName_mouse	Assay_type	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
mmu_let_7a_5p	GOI	26.495	25.644	25.696	26.517	22.243	24.157	25.377	22.364	21.863	23.790	24.081	24.354	22.702	21.692	24.874	22.479	22.530	21.336	22.489	22.738	26.616	22.510	21.430	24.242
mmu_let_7b_5p	GOI	26.169	29.428	25.876	26.677	22.668	24.326	25.942	23.164	22.738	24.151	24.522	24.895	23.340	22.157	24.475	23.167	23.156	22.342	23.057	23.335	26.493	22.924	22.234	24.698
mmu_let_7c_5p	GOI	25.841	24.958	24.900	25.468	21.858	23.379	24.995	22.268	21.744	23.296	23.743	23.976	22.426	21.061	24.004	22.229	22.452	21.131	22.207	22.310	26.655	21.651	21.180	23.604
mmu_let_7d_5p	GOI	27.343	26.879	26.317	27.503	23.623	24.971	26.405	23.696	23.356	24.782	25.721	24.754	23.571	22.387	25.352	23.313	24.605	22.778	23.845	23.737	27.519	23.142	22.169	26.287
mmu_let_7e_5p	GOI	28.365	27.616	23.300	28.541	24.710	26.661	27.734	24.928	25.295	25.799	26.821	26.703	24.948	24.167	27.290	24.813	26.562	24.094	25.283	25.217	27.911	24.670	23.653	26.590
mmu_let_7f_5p	GOI	31.259	27.973	26.135	26.521	24.258	25.532	26.816	24.496	24.765	26.364	24.835	26.964	25.260	23.186	27.672	24.643	24.954	24.424	25.880	26.012	29.530	25.333	23.716	27.081
mmu_let_7g_5p	GOI	29.885	28.033	28.158	25.864	24.303	25.718	26.857	24.719	24.184	25.509	26.538	26.316	24.186	22.765	26.860	23.980	24.232	23.392	24.613	24.488	28.536	24.082	22.434	26.572
mmu_let_7i_5p	GOI	30.664	28.189	28.071	27.423	24.943	26.026	27.388	24.977	24.744	26.122	26.150	26.295	24.518	23.233	26.804	23.415	24.102	23.441	24.581	24.550	28.676	23.323	22.379	24.380
mmu_miR_106a_5p	GOI	33.522	32.085	32.189	31.697	28.483	29.633	30.623	28.524	28.653	30.048	31.088	29.642	28.767	27.808	31.097	28.603	28.516	27.476	28.710	28.960	33.150	28.382	27.630	30.678
mmu_miR_106b_5p	GOI	32.514	30.726	30.530	29.698	26.923	28.545	28.811	26.948	26.724	28.494	29.370	28.460	26.390	25.643	30.485	26.698	26.793	25.682	26.823	26.945	30.760	26.369	24.701	28.659
mmu_miR_1192	GOI	Undetermined	36.441	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	35.953	Undetermined	35.692	Undetermined	Undetermined	Undetermined	35.906	Undetermined	Undetermined	Undetermined	37.034	36.575	35.173	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_126a_5p	GOI	32.917	26.477	27.284	26.715	23.071	24.969	26.535	25.211	26.201	25.617	25.730	26.255	25.612	23.711	29.111	25.251	25.608	25.267	26.153	25.925	28.751	26.044	23.741	27.148
mmu_miR_128_3p	GOI	36.225	36.427	34.586	32.999	31.659	33.180	34.391	32.534	31.253	33.104	33.276	34.270	31.831	29.856	33.280	31.340	31.267	30.688	31.070	31.152	34.018	30.965	30.218	32.562
mmu_miR_130a_3p	GOI	30.849	29.479	28.868	29.156	26.203	27.557	28.774	27.095	26.337	27.700	28.552	27.839	26.270	25.745	28.406	26.216	25.910	25.401	26.351	26.151	30.479	26.000	24.878	27.468
mmu_miR_130b_3p	GOI	33.363	32.701	33.617	33.635	30.970	33.187	32.283	32.006	31.506	31.867	33.849	32.748	30.590	30.256	31.940	30.365	30.988	29.296	31.242	30.755	34.811	29.687	28.753	31.298
mmu_miR_135a_5p	GOI	39.971	34.326	33.702	34.230	31.659	33.293	33.845	31.452	31.838	32.654	35.389	35.186	31.674	30.769	36.439	28.609	29.687	26.650	32.394	32.955	39.703	28.320	26.512	30.086
mmu_miR_140_5p	GOI	34.597	29.768	27.266	31.285	27.133	28.209	29.841	27.728	28.956	29.173	28.909	29.491	28.346	27.091	31.210	27.731	27.625	27.414	28.465	28.872	31.286	27.873	26.426	29.650
mmu_miR_144_3p	GOI	37.565	30.961	30.812	28.277	28.553	28.203	30.113	28.420	28.930	29.259	27.443	29.406	28.296	26.333	34.728	28.323	27.679	29.032	28.950	27.560	31.795	28.508	26.764	29.743
mmu_miR_155_5p	GOI	Undetermined	32.442	33.420	33.785	29.329	31.171	32.938	30.855	31.325	32.577	32.193	33.166	31.652	30.287	31.928	28.868	30.212	26.722	31.343	31.339	35.162	28.935	27.131	28.999
mmu_miR_15a_5p	GOI	33.271	29.040	28.644	27.732	25.860	27.287	27.899	25.877	25.755	26.860	27.300	27.134	25.373	24.103	29.141	24.942	25.868	24.368	25.843	25.714	29.666	25.300	24.272	25.251
mmu_miR_15b_5p	GOI	29.507	29.173	27.973	28.354	25.209	26.974	27.633	24.486	24.207	26.198	27.749	26.770	24.653	24.445	27.665	25.648	26.059	23.777	25.460	25.193	29.574	24.390	24.330	27.491
mmu_miR_16_5p	GOI	26.396	23.624	24.140	23.548	20.667	22.467	23.944	21.854	22.099	23.118	23.860	23.560	21.790	21.010	24.457	21.805	22.091	21.090	22.454	22.586	25.879	22.361	20.713	22.958
mmu_miR_17_5p	GOI	31.796	31.393	30.113	29.960	26.353	27.832	28.754	26.456	26.165	28.224	29.186	28.120	26.759	25.881	28.828	26.737	27.177	25.494	26.916	27.218	31.116	26.660	25.450	28.542
mmu_miR_181a_5p	GOI	27.988	26.424	27.906	26.938	22.994	25.236	26.585	24.723	24.288	25.482	24.979	25.866	24.924	23.934	26.144	24.628	24.805	24.069	24.798	24.665	28.566	24.298	23.734	24.895
mmu_miR_181b_5p	GOI	30.412	28.616	30.143	30.549	26.803	27.884	29.617	27.389	27.299	28.258	28.909	28.703	27.692	26.615	28.641	27.124	27.310	26.448	27.451	27.420	32.712	27.049	26.187	28.034
mmu_miR_181c_5p	GOI	34.932	31.915	33.194	33.552	30.769	31.506	31.848	29.493	29.611	31.066	31.089	30.926	29.704	28.854	31.888	29.571	29.197	28.645	29.577	29.188	33.117	29.325	28.439	30.440
mmu_miR_181d_5p	GOI	35.306	36.267	33.127	37.648	30.172	31.721	33.683	31.414	31.207	31.901	32.693	32.715	31.327	30.863	32.652	31.704	32.747	31.923	31.690	32.619	36.580	31.169	29.819	33.654
mmu_miR_182_5p	GOI	Undetermined	33.248	29.765	31.413	29.134	30.402	31.695	29.227	29.175	29.953	32.959	31.368	29.653	28.602	31.391	31.360	31.761	28.705	29.586	29.536	Undetermined	29.315	28.252	32.920
mmu_miR_186_5p	GOI	34.708	32.607	30.759	33.840	30.214	30.464	31.976	33.207	31.241	31.733	32.163	32.173	30.850	30.099	37.188	31.270	30.554	29.880	31.151	32.217	34.300	30.642	29.254	31.257
mmu_miR_195a_5p	GOI	30.719	27.934	24.760	27.154	23.479	25.573	28.276	25.112	24.547	26.269	27.838	26.635	25.234	24.071	27.848	26.378	25.479	24.693	25.276	25.940	29.386	25.320	24.249	28.449
mmu_miR_19a_3p	GOI	31.825	30.769	28.886	28.493	24.403	26.237	27.383	26.144	26.366	27.133	27.406	26.751	25.971	24.782	29.831	25.765	25.950	25.270	26.307	26.519	30.258	26.071	24.406	27.722
mmu_miR_19b_3p	GOI	30.974	30.585	27.870	27.730	23.335	25.160	26.124	24.971	25.423	26.111	26.521	25.922	24.589	23.819	28.591	24.753	25.060	24.233	25.181	25.406	28.575	25.083	23.448	26.687
mmu_miR_200c_3p	GOI	26.710	26.235	26.529	26.175	23.148	24.528	26.566	24.863	23.576	25.155	25.797	25.781	23.708	23.849	25.653	24.211	24.643	23.491	24.529	24.401	27.554	24.386	23.208	24.871
mmu_miR_20a_5p	GOI	30.705	28.835	29.161	28.980	25.161	26.547	27.939	25.547	25.816	26.927	27.691	27.360	25.547	24.179	28.555	25.882	25.251	24.849	26.138	26.347	30.020	26.129	24.350	26.922
mmu_miR_20b_5p	GOI	Undetermined	38.707	Undetermined	Undetermined	33.873	Undetermined	Undetermined	37.939	39.024	37.055	Undetermined	39.055	35.200	34.804	36.323	35.007	34.736	33.593	35.636	39.170	Undetermined	33.248	34.668	Undetermined
mmu_miR_221_3p	GOI	32.687	32.108	30.728	30.315	27.938	28.551	29.801	27.124	26.813	27.990	28.484	28.360	27.367	25.864	29.271	26.321	27.127	25.718	26.888	26.753	30.839	26.386	25.555	26.627
mmu_miR_222_3p	GOI	30.128	27.418	28.417	28.592	25.343	27.208	27.997	25.845	25.292	26.856	27.212	27.206	25.678	25.260	27.596	25.896	25.838	24.733	25.774	26.166	30.216	25.276	24.631	26.593
mmu_miR_23a_3p	GOI	25.158	23.820	23.431	23.700	20.526	22.380	23.391	20.869	20.909	22.366	23.937	22.574	21.588	20.674	23.584	21.880	21.957	20.719	21.471	21.476	25.563	21.691	20.588	24.239
mmu_miR_23b_3p	GOI	25.158	23.551	22.379	23.240	19.828	21.591	22.920	20.270	20.285	21.834	23.448	22.156	20.494	20.432	22.943	21.560	21.413	19.841	20.823	21.013	25.206	20.908	20.128	24.121
mmu_miR_26a_5p	GOI	27.230	24.446	24.012	24.819	21.115	23.179	25.383	22.092	22.077	22.986	24.592	23.652	22.491	21.737	24.980	23.430	24.894	22.228	22.986	23.905	26.625	22.801	21.752	25.280
mmu_miR_26b_5p	GOI	30.884	28.336	25.832	24.839	23.591	21.303	27.140	28.789	25.298	25.700	27.251	26.441	25.340	23.952	27.847	25.020	26.244	24.202	25.246	25.355	28.949	25.575	23.579	27.179
mmu_miR_27a_3p	GOI	27.753	24.570	24.695	23.954	21.496	22.801	24.566	22.705	22.240	23.793	23.881	24.401	23.072	22.224	25.951	23.308	22.992	22.241	23.101	23.109	26.740	22.685	21.959	24.801
mmu_miR_27b_3p	GOI	27.973	24.739	25.314	25.146	21.289	23.320	24.996	22.748	22.257	23.930	24.772	24.717	22.331	22.155	26.692	23.340	23.973	22.388	23.429	23.317	26.866	22.757	22.226	24.631
mmu_miR_291a_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	39.231	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	38.997	37.385	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	38.720	Undetermined
mmu_miR_294_3p	GOI	Undetermined	Undetermined	35.741	Undetermined	Undetermined	Undetermined	Undetermined	35.315	Undetermined	35.778	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.517	Undetermined	38.959	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_295_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	36.475	Undetermined	Undetermined	Undetermined	37.512	Undetermined	Undetermined	Undetermined	Undetermined	38.247	Undetermined
mmu_miR_29a_3p	GOI	28.269	25.155	24.759	25.111	22.984	24.076	25.101	23.138	23.093	24.246	24.264	24.318	22.648	22.069	26.010	22.320	22.645	21.883	22.637	22.315	26.895	22.296	21.369	23.341
mmu_miR_29b_3p	GOI	35.382	32.991	30.255	29.556	27.261	28.428	28.956	27.739	27.107	27.849	28.793	28.173	27.018	23.598	31.580	26.557	27.109	25.830	26.945	26.311	31.206	26.631	24.736	27.428
mmu_miR_29c_3p	GOI	28.616	25.596	25.203	25.498	23.106	23.984	24.915	23.357	22.709	24.266	24.222	24.427	23.333	22.072	26.247	22.694	22.586	22.043	22.661	22.526	26.590	21.832	21.484	23.146
mmu_miR_301a_3p	GOI	37.545	32.339	32.369	32.403	28.472	29.788	31.364	30.494	31.186	31.131	31.907	30.806	30.149	28.368	33.231	29.636	29.833	29.360	30.691	31.340	33.368	30.737	28.116	32.811
mmu_miR_301b_3p	GOI	Undetermined	34.659	34.140	35.075	29.819	31.312	34.185	35.315	32.882	32.115	33.316	31.807	30.912	29.718	35.775	31.433	32.524	31.153	31.875	32.277	35.394	32.532	29.793	37.832
mmu_miR_302b_3p	GOI	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	23.161	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_302d_3p	GOI	Undetermined	38.265	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	37.285	Undetermined	Undetermined	Undetermined	Undetermined
mmu_miR_30a_5p	GOI	26.980	23.836	24.851	22.700	21.314	22.711	24.467	23.721	21.996	23.883	23.701	23.785	22.715	21.885	25.567	22.861	22.710	22.269	23.093	23.298	26.604	23.808	21.786	24.260
mmu_miR_30b_5p	GOI	28.631	25.447	25.313	24.699	21.950	23.447	25.113	22.871	22.612	23.351	25.423	24.500	22.234	22.209	26.805	23.396	23.429	22.547	23.546	23.479	27.386	23.507	21.913	27.549
mmu_miR_30c_5p	GOI	27.388	25.378	24.212	23.980	21.289	22.945	23.911	21.841	21.516	23.180	25.532	23.802	22.498	21.460	24.974	23.319	23.412	21.639	22.557	22.643	26.292	22.214	21.400	26.131
mmu_miR_30d_5p	GOI	25.542	24.064	25.273	24.880	21.928	23.302	24.807	22.724	22.313	23.196	24.399	24.307	22.512	22.450	24.912	22.913	22.646	22.311	23.000	22.939	26.441	22.880	22.235	24.183
mmu_miR_30e_5p	GOI	34.110	32.111	31.751	32.315	28.223	29.697	31.330	29.219	27.898	28.575	30.609	30.531	28.210	27.666	33.291	29.531	30.716	27.793	30.159	30.333	32.605	29.736	27.723	30.224
mmu_miR_322_5p	GOI	31.066	27.859	27.965	27.964	24.360	25.940	27.492	24.900	25.082	26.477	26.872	26.681	25.391	24.337	28.747	25.162	25.773	24.329	25.319	25.488	29.022	24.977	23.809	27.402
